EntrezGene ID,HGNC symbol
3983,ABLIM1
100033818,SNORD115-44
693155,MIR570
100847070,MIR5196
102466728,MIR6754
100422861,MIR4306
693156,MIR571
10930,APOBEC2
102465461,MIR6770-3
102465908,MIR6770-3
102466259,MIR6770-3
102465461,MIR6770-2
102465908,MIR6770-2
102466259,MIR6770-2
102465461,MIR6770-1
102465908,MIR6770-1
102466259,MIR6770-1
100302191,MIR548I4
619571,SNORD96A
768218,MIR766
100616148,MIR4760
100500812,MIR3677
392255,GDF6
26827,RNU6-9
101954271,RNU6-9
103625684,RNU6-9
26790,SNORD58B
100033454,SNORD115-16
100302169,MIR320D2
100422967,MIR3146
102465531,MIR6882
100616387,MIR3064
406899,MIR106A
50717,DCAF8
100423009,MIR4329
100337591,SNORA70F
8318,CDC45
102466516,MIR6071
100422988,MIR3156-1
100302237,MIR1281
100124538,SNORA70C
100422887,MIR4280
100616268,MIR4472-1
51012,SLMO2
100616290,MIR4529
693170,MIR585
677813,SNORA30
102465537,MIR6891
100033455,SNORD115-17
100033456,SNORD115-17
100033458,SNORD115-17
102465683,MIR6511A1
102465684,MIR6511A1
102466268,MIR6511A1
102466812,MIR6511A1
102465683,MIR6511A2
102465684,MIR6511A2
102466268,MIR6511A2
102466812,MIR6511A2
102465683,MIR6511A4
102465684,MIR6511A4
102466268,MIR6511A4
102466812,MIR6511A4
102465683,MIR6511A3
102465684,MIR6511A3
102466268,MIR6511A3
102466812,MIR6511A3
100302114,MIR513C
100616385,MIR4732
5002,
100616222,MIR4487
693216,MIR631
406937,MIR145
406889,MIRLET7F2
693232,MIR647
30011,SH3KBP1
100126321,MIR922
406995,MIR181A1
102466740,MIR6808
677805,SNORA18
100616337,MIR4747
102465993,MIR7847
574512,MIR507
406939,MIR147A
9953,HS3ST3B1
693154,MIR569
100500842,MIR3652
2747,GLUD2
442444,FAM47C
9299,SNORD30
677792,SNORA1
100033417,SNORD116-7
100033419,SNORD116-7
100616223,MIR4509-2
100616228,MIR4509-2
100616382,MIR4509-2
100616223,MIR4509-3
100616228,MIR4509-3
100616382,MIR4509-3
100616223,MIR4509-1
100616228,MIR4509-1
100616382,MIR4509-1
102466880,MIR8088
100847036,MIR5186
100616260,MIR4663
768212,MIR758
102465461,MIR6770-3
102465908,MIR6770-3
102466259,MIR6770-3
102465461,MIR6770-2
102465908,MIR6770-2
102466259,MIR6770-2
102465461,MIR6770-1
102465908,MIR6770-1
102466259,MIR6770-1
102465683,MIR6511A1
